N,P,K,ph,temperature,humidity,rainfall,crop,health
20,144,130,8.649663373219873,22.933681947506773,52.65611316181912,252.03605762274518,banana,Poor
59,121,197,5.001882626295673,12.857603665808934,26.325826540138735,156.50508828688703,muskmelon,Poor
131,22,60,8.908799568606444,19.622276475702666,69.11414543672049,54.89442892667049,mothbeans,Moderate
96,101,26,4.480462924826094,34.23086419343788,26.783885822148488,80.14105737818437,pigeonpeas,Moderate
84,114,136,6.698026050671835,42.32819776483562,89.7653376024474,138.49058514565377,watermelon,Moderate
131,52,41,6.288687248535974,18.66989315542277,66.50756886055933,264.61625546602517,watermelon,Moderate
120,69,158,4.8103103585534654,36.76119625596304,58.00442943036231,211.18886191059835,grapes,Poor
55,21,111,8.760936521214333,12.098696298514614,74.83006156125293,117.07764296369199,mungbean,Moderate
67,6,182,7.895632774919301,12.283495643031593,81.73177842661963,108.5726329928458,muskmelon,Poor
109,133,123,9.34899288751328,16.967273701061494,73.3084859860692,129.30229346859932,banana,Poor
100,119,56,6.393167137389002,28.489306177318984,73.56808355833532,84.4559855222016,banana,Healthy
57,7,107,7.822149881090864,29.193271498618316,69.56832063916045,254.51146646522417,apple,Moderate
1,72,121,8.294212334908988,17.076482134578065,38.30028638832809,231.2714107949625,pomegranate,Poor
14,27,36,4.5554269158019425,36.644389567600015,46.4801800329741,130.64311842663653,rice,Moderate
120,67,81,7.01500391100647,35.357775435013856,73.01366433404307,95.65137944280292,blackgram,Moderate
103,122,186,4.4386587646517075,20.354871119417275,59.61266854198682,84.60924938313681,maize,Moderate
93,22,137,5.475327279207627,38.40320126381328,57.97652123825701,240.92914801596834,orange,Poor
83,122,176,9.015499255485159,12.184758116897374,45.77992386408238,201.16766481331132,muskmelon,Poor
96,59,51,4.055255642109248,13.466746708821837,20.455988143843697,181.43466344947933,rice,Moderate
74,140,19,7.033075122633161,24.603377873577493,76.5554504416805,219.96826559111727,muskmelon,Moderate
31,101,181,6.404209337170018,33.36251592487215,52.52971818957781,71.03730412293567,blackgram,Moderate
72,12,145,3.561672613757864,25.059659604127575,21.620335014403807,32.035874765249204,maize,Poor
72,71,87,4.506459238519708,38.800349428756284,66.37220890213935,235.3572113326033,papaya,Moderate
74,7,204,4.192438468623591,13.266741699746333,31.926218717596278,103.0429139841971,papaya,Poor
86,115,17,4.986359791796255,36.548423976678194,93.4143679175534,107.34307985391666,cotton,Poor
122,35,142,5.122096381966268,27.323963783019238,24.78660199685253,63.87678911622772,mungbean,Moderate
116,114,173,8.151821645823539,33.239599159229044,16.300509856861957,48.84912362393519,chickpea,Poor
72,144,128,9.471885538058338,28.697661044112174,35.440293548246814,134.35932726342685,orange,Moderate
50,113,85,9.229515633080993,34.51496755419389,82.5679921256865,258.2297012778497,rice,Poor
18,139,188,8.391319646246135,32.2457882002445,58.10841102204015,184.32585266607416,maize,Moderate
92,20,106,5.88603033685645,38.73206388705029,71.5753358385293,97.9769053394674,orange,Moderate
29,73,76,3.740449734430234,37.69220038443332,58.360152379379535,152.58217246568256,kidneybeans,Moderate
1,113,5,8.738172593863482,30.4088498113728,72.19965190435832,116.43732625884026,maize,Moderate
63,9,23,9.377345245404936,36.42081879653908,91.52547060652294,149.59411527350187,maize,Poor
130,33,90,5.488218770964121,39.463462083236045,41.93848558311565,210.9730674992449,coconut,Poor
66,14,14,4.964924824138784,43.17483790420204,94.57295012185357,254.22959930560054,orange,Poor
56,55,37,8.42185369403073,36.19624818362635,53.59455033875694,257.522230357362,rice,Moderate
49,16,105,7.641522961772534,16.211860198558973,51.08248010626737,215.24331081417543,lentil,Poor
8,44,102,5.884722590847246,38.49507405457004,93.22135501277583,199.6866451416867,jute,Moderate
34,51,97,6.44873290984658,30.032131256672564,91.43335845538871,88.13824055270493,pigeonpeas,Moderate
10,124,44,4.127665435878822,24.809930212290855,17.290068539879798,218.6230621751197,lentil,Poor
123,88,78,3.9345184121827166,19.207435707358943,31.475262584680106,101.8322769638641,pigeonpeas,Poor
116,100,74,4.854348595683728,38.23398857971024,18.975690254914745,117.02276920822457,maize,Poor
119,35,66,5.086985970349042,16.3229796222328,85.54486418028635,23.759812611737175,kidneybeans,Poor
53,43,69,5.4086400257942575,10.543526918259285,88.99343200567172,197.12224074159585,mothbeans,Moderate
21,52,6,7.863001861008545,41.56605919067607,67.72143448245382,107.33663856989537,kidneybeans,Moderate
50,18,199,7.898276242497576,41.609419823484984,78.01134620593474,75.27053183337733,orange,Moderate
59,24,128,4.010085109270641,34.92276378368276,18.19573921878539,229.84529402654684,pigeonpeas,Poor
117,83,103,7.7326826560001996,27.626220705620703,47.68081888395014,57.046173165017976,mango,Moderate
123,79,37,6.427252598483156,43.19422306188369,52.341116745359166,175.39736755585145,coffee,Healthy
104,100,143,3.5814987812608927,23.98964301769672,52.17216185942366,295.69177607523085,kidneybeans,Poor
40,54,55,6.49183671231534,38.35949820334929,36.181920976250794,27.563584644311987,muskmelon,Moderate
74,68,173,4.690518462313559,12.958697098976135,92.16985856969069,229.0767576340317,mothbeans,Poor
96,77,76,4.917929141094129,32.39087114759566,77.56654825310576,210.0892874662221,orange,Moderate
62,120,192,5.037254833835977,36.03002771942014,67.13451688243133,92.01899095634612,lentil,Moderate
101,96,173,4.65609647441591,41.18808956396288,51.80639674724745,43.87628470054594,cotton,Poor
25,11,23,4.937665821063898,28.81381043814816,17.01301492069649,137.79991342647057,chickpea,Poor
21,24,152,4.06482032469077,44.29569087959465,56.61528759987931,209.29656976250686,grapes,Poor
128,110,113,6.150915753237944,24.644502086867345,26.546602117818907,20.913362329283203,blackgram,Moderate
72,99,52,8.451593795430705,13.957192820169844,93.02793154042241,218.65723808213403,mungbean,Poor
42,85,162,7.5058489647533495,18.444550352374826,81.5293125692397,130.52203367039323,blackgram,Poor
132,130,70,9.396611126078712,24.674597569946393,67.3584340930293,35.23364378104202,jute,Moderate
78,122,69,7.949578157053218,36.62451860626481,83.3838441153449,84.26772126136976,kidneybeans,Moderate
98,19,111,7.4447934913038045,31.739193931056647,50.40903371880492,67.59890487300859,papaya,Healthy
121,61,189,5.729631609469845,28.61194325053622,73.08598664199577,170.88668425653174,mothbeans,Healthy
31,110,85,4.950233554815675,17.77707543040057,48.904866896179925,273.64772910476574,coconut,Poor
22,23,104,8.13568897878872,21.212777952023764,86.10896385353493,299.85921328024455,jute,Poor
16,15,23,5.49982523632892,24.157737697058025,79.7171918106283,276.09670875050244,chickpea,Poor
4,62,65,5.4416736645247585,34.32370622788392,72.66963544449348,180.5751424396336,lentil,Moderate
11,79,177,8.022601970898815,34.25464472802239,64.0358155812931,216.73321987572194,maize,Moderate
40,45,161,3.5936326314041565,28.261938814256418,79.28976990385317,36.148115207714525,kidneybeans,Moderate
91,53,119,9.109586565944486,12.321888982408092,38.10026809051006,23.125826096329234,muskmelon,Poor
40,14,33,3.6971659965889367,14.763549800867036,94.5713932075941,51.49537129920674,coconut,Moderate
97,86,130,7.832890958824428,25.766962309121322,93.8023542407865,94.66478086152974,kidneybeans,Moderate
118,77,58,7.962770238501266,22.528748209724597,51.44798909372855,202.3774894799418,pomegranate,Moderate
78,79,111,4.218882210160586,27.147952101021296,91.30238674964735,265.10286101505153,muskmelon,Moderate
121,141,13,5.140077022540023,15.880452480878489,42.47483038173351,165.00538106457003,mothbeans,Poor
99,93,66,7.5359019613398335,32.27158464296445,23.86974499093883,45.53255430990255,pomegranate,Moderate
75,97,59,4.0683314833242665,38.54360104805604,54.987978490988766,215.69975693021496,grapes,Moderate
76,7,21,7.033407732936718,27.6594990245639,49.82906834536173,194.73024085602788,coconut,Healthy
133,111,113,5.1537269513010955,39.965576045190694,53.720200247635034,96.18952114650007,coconut,Poor
90,84,41,8.866077264119502,34.85697420616984,47.71045161308596,73.35681940178986,grapes,Moderate
126,111,86,5.590043188561299,12.102775612301334,59.63811684729512,62.43445378934616,coffee,Moderate
